;955580519;B;V;;;;;;3;YAU 25.02.2021;
;865580518;B;V;;;;;;3;YAU 25.02.2021;
;375580511;B;V;;;;;;3;YAU 25.02.2021;
;975580515;B;V;;;;;;3;YAU 25.02.2021;
;755580511;B;V;;;;;;3;YAU 25.02.2021;
;365580513;B;V;;;;;;3;YAU 25.02.2021;
;175580513;B;V;;;;;;3;YAU 25.02.2021;
;875580516;B;V;;;;;;3;YAU 25.02.2021;
;185580511;B;V;;;;;;3;YAU 25.02.2021;
;285580510;B;V;;;;;;3;YAU 25.02.2021;
;385580519;B;V;;;;;;3;YAU 25.02.2021;
;155580517;B;V;;;;;;3;YAU 25.02.2021;
;455580514;B;V;;;;;;3;YAU 25.02.2021;
;655580512;B;V;;;;;;3;YAU 25.02.2021;
;665580510;B;V;;;;;;3;YAU 25.02.2021;
;355580515;B;V;;;;;;3;YAU 25.02.2021;
;555580513;B;V;;;;;;3;YAU 25.02.2021;
;465580512;B;V;;;;;;3;YAU 25.02.2021;
;255580516;B;V;;;;;;3;YAU 25.02.2021;
;855580510;B;V;;;;;;3;YAU 25.02.2021;
;265580514;B;V;;;;;;3;YAU 25.02.2021;
;775580517;B;V;;;;;;3;YAU 25.02.2021;
;565580511;B;V;;;;;;3;YAU 25.02.2021;
;275580512;B;V;;;;;;3;YAU 25.02.2021;
;165580515;B;V;;;;;;3;YAU 25.02.2021;
;945580512;B;V;;;;;;3;YAU 25.02.2021;
