L;452049505;;VEIDEKKE ENTREPRENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;ROLF SANDSETER 23491
L;763533015;;VEIDEKKE ENTREPRENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;31058
L;651652307;;VEIDEKKE ENTREPENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;
L;270552011;;VEIDEKKE ENTREPENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;
L;722472800;;VEIDEKKE ENTREPENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;
L;342049509;;VEIDEKKE ENTREPRENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;TOR ARNE DAHL 24568
L;825278708;;VEIDEKKE ENTREPRENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;OLE JØRGEN AAKRE
L;428552301;;VEIDEKKE ENTREPENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;
L;482049509;;VEIDEKKE ENTREPRENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;
L;592909907;;VEIDEKKE ENTREPRENØR AS;;;OSLO;0278;4;SKABOS VEI;;;NOR;;;;;;;;;;;;;;04.12.2013;04.12.2013;;984024290;;31712
