107113508	B	V
107313504	B	V
109513507	B	V
112013503	B	V
113013502	B	V
116903501	B	V
133013508	B	V
137903506	B	V
143013506	B	V
148843501	B	V
150613503	B	V
153013503	B	V
153903505	B	V
159903509	B	V
163013501	B	V
175903509	B	V
176113504	B	V
177903507	B	V
179513502	B	V
179673504	B	V
181013509	B	V
182013508	B	V
182903500	B	V
186113502	B	V
186313508	B	V
188513501	B	V
188903504	B	V
191013507	B	V
192013506	B	V
201013505	B	V
204903504	B	V
207113507	B	V
207313503	B	V
209513506	B	V
212013502	B	V
213013501	B	V
222513509	B	V
233013507	B	V
237903505	B	V
239273501	B	V
242013506	B	V
243013505	B	V
245903505	B	V
248843500	B	V
250613502	B	V
253013502	B	V
253903504	B	V
263013500	B	V
265903500	B	V
276113503	B	V
277903506	B	V
279513501	B	V
281013508	B	V
282013507	B	V
282903509	B	V
286313507	B	V
288903503	B	V
303013502	B	V
307113506	B	V
312013501	B	V
313013500	B	V
313903502	B	V
315903500	B	V
318323508	B	V
325903508	B	V
333013506	B	V
342013505	B	V
343013504	B	V
345903504	B	V
348843509	B	V
350613501	B	V
353013501	B	V
353053507	B	V
353903503	B	V
363013509	B	V
365903509	B	V
369903505	B	V
376113502	B	V
376513503	B	V
379513500	B	V
381013507	B	V
382013506	B	V
382903508	B	V
388513509	B	V
388903502	B	V
396113508	B	V
401013503	B	V
407113505	B	V
407313501	B	V
409903507	B	V
410343503	B	V
412013500	B	V
413013509	B	V
413903501	B	V
415903509	B	V
417313509	B	V
427313507	B	V
433013505	B	V
436434500	B	V
438973505	B	V
440613503	B	V
442013504	B	V
448843508	B	V
453013500	B	V
454753500	B	V
463013508	B	V
465903508	B	V
470013509	B	V
471013508	B	V
476313507	B	V
479513509	B	V
481013506	B	V
483903506	B	V
484743505	B	V
491013504	B	V
496113507	B	V
498053503	B	V
501013502	B	V
506903509	B	V
507313500	B	V
507903508	B	V
509903506	B	V
512013509	B	V
517313508	B	V
527313506	B	V
530013507	B	V
533013504	B	V
540013505	B	V
547903500	B	V
553013509	B	V
563013507	B	V
565903507	B	V
567513502	B	V
570013508	B	V
571013507	B	V
576113500	B	V
576313506	B	V
579513508	B	V
581013505	B	V
586903502	B	V
591013503	B	V
594843500	B	V
596113506	B	V
601013501	B	V
605513506	B	V
609903505	B	V
612013508	B	V
617313507	B	V
627313505	B	V
628903502	B	V
629903501	B	V
630013506	B	V
633013503	B	V
640013504	B	V
640613501	B	V
647903509	B	V
648973501	B	V
649903507	B	V
653013508	B	V
669903502	B	V
670013507	B	V
676113509	B	V
676313505	B	V
676513500	B	V
681013504	B	V
686903501	B	V
691013502	B	V
696113505	B	V
696313501	B	V
698513504	B	V
703013508	B	V
712013507	B	V
716843503	B	V
717313506	B	V
719903502	B	V
722283504	B	V
727313504	B	V
728903501	B	V
729903500	B	V
730013505	B	V
733013502	B	V
740013503	B	V
740613500	B	V
740903505	B	V
748903507	B	V
749903506	B	V
753013507	B	V
758843502	B	V
766113500	B	V
769903501	B	V
770013506	B	V
771013505	B	V
772903506	B	V
776113508	B	V
776313504	B	V
776513509	B	V
778033506	B	V
779903509	B	V
781013503	B	V
786903500	B	V
789323508	B	V
792903502	B	V
795843507	B	V
796113504	B	V
796313500	B	V
798513503	B	V
803013507	B	V
817313505	B	V
819903501	B	V
827313503	B	V
828903500	B	V
830013504	B	V
833013501	B	V
835513508	B	V
838803500	B	V
840013502	B	V
840613509	B	V
848903506	B	V
849903505	B	V
853013506	B	V
858843501	B	V
863903506	B	V
866113509	B	V
866843501	B	V
871013504	B	V
872903505	B	V
876113507	B	V
876313503	B	V
876513508	B	V
878033505	B	V
881013502	B	V
889323507	B	V
892903501	B	V
894903509	B	V
895233500	B	V
896113503	B	V
896313509	B	V
913903506	B	V
917313504	B	V
919903500	B	V
923013502	B	V
930013503	B	V
933013500	B	V
940013501	B	V
940613508	B	V
942013509	B	V
948903505	B	V
948973508	B	V
949903504	B	V
950583500	B	V
953013505	B	V
955903505	B	V
965903503	B	V
966113508	B	V
967623505	B	V
967903501	B	V
970013504	B	V
971013503	B	V
972903504	B	V
976113506	B	V
976313502	B	V
976513507	B	V
978703502	B	V
978843506	B	V
981013501	B	V
989323506	B	V
994903508	B	V
996113502	B	V
996313508	B	V
998513501	B	V
998843502	B	V
