GSM04747238761;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04747621589;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04748126506;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04748277118;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04740477280;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04741469822;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04741677215;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04745203300;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04745204646;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04745290929;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04745420009;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04790110930;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04790169001;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04790183276;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04790184420;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04790605127;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04790723022;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04790820772;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04790850016;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04790991826;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791120006;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
