GSM04741225185;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741230108;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741333692;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741415684;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741415687;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741417272;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741444286;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741478336;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741505660;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741507424;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741511690;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741512800;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741516289;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741518200;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741518568;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741521461;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741542304;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741555818;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741556510;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741558067;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
GSM04741558991;PSFB;PSFB24OP;PSFBREG1;R;;KSSK;96;BYT5;24 mnd binding ref Bjørn Tore Bakken. Markedsstøtte utbetalt Elkem direkte;Y;DEI 28.06.2005;Y
